Strain,Vendor Number,Sex,Age (w),Group (diet),Mouse ID,Body Weight (g),Glucose Level,GLU mg/dL,CHOL mg/dL,HDLX mg/dL,LDLD mg/dL,TRIG mg/dL,NEFA mEq/L,NGSP % 
C57BL/6J,380050,m,8,DIO,1,22.5,131.5,162,157,118.1,4.79,90,1.27,5.8
C57BL/6J,380050,m,8,DIO,2,22.8,134.5,175,152,113.7,4.63,118,1.39,5.9
C57BL/6J,380050,m,8,DIO,3,23.3,140,158,114,88.6,3.20,102,0.95,6.0
C57BL/6J,380050,m,8,DIO,4,23.4,143,189,185,135.5,3.77,92,0.80,5.8
C57BL/6J,380050,m,8,DIO,5,23.6,148,179,190,142.9,5.08,91,0.87,5.7
C57BL/6J,380050,m,8,DIO,6,23.8,150.5,159,194,144.1,4.89,168,1.09,6.1
C57BL/6J,380050,m,8,DIO,7,24.0,152.5,215,197,144.1,5.23,113,0.87,6.0
C57BL/6J,380050,m,8,DIO,8,24.2,153.5,199,199,148.0,4.75,109,0.59,5.7
C57BL/6J,380050,m,8,DIO,9,24.3,154,211,194,143.5,5.11,105,0.96,6.0
C57BL/6J,380050,m,8,DIO,10,24.6,155,218,183,136.7,5.10,81,0.79,5.4
C57BL/6J,380050,m,8,DIO,11,24.7,157.5,185,196,164.6,3.9,155,1.34,5.7
C57BL/6J,380050,m,8,DIO,12,24.8,158.5,257,151,122.0,3.7,120,1.01,5.4
C57BL/6J,380050,m,8,DIO,13,24.9,160,255,174,132.3,5.0,158,1.20,5.3
C57BL/6J,380050,m,8,DIO,14,25.1,160,259,166,129.3,4.1,149,1.13,5.1
C57BL/6J,380050,m,8,DIO,15,25.2,160,270,180,145.0,5.0,221,1.63,6.2
C57BL/6J,380050,m,8,DIO,16,25.2,161,203,178,144.1,4.5,168,1.48,5.6
C57BL/6J,380050,m,8,DIO,17,25.2,162,260,130,112.0,3.0,185,1.31,5.6
C57BL/6J,380050,m,8,DIO,18,25.3,163,258,173,137.0,5.7,234,1.59,5.8
C57BL/6J,380050,m,8,DIO,19,25.4,164,233,181,150.0,5.0,182,1.40,5.8
C57BL/6J,380050,m,8,DIO,20,25.4,164.5,261,160,140.7,4.8,124,1.00,5.8
